원천도형ID,읍면동코드,읍면동명,데이터기준일자,제공기관코드,제공기관명
2802,47130250,감포읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
9732,45130107,금광동,2018-01-11,AAAAAAA,공공데이터활용지원센터
9733,45130560,삼학동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2929,43130116,칠금동,2018-01-11,AAAAAAA,공공데이터활용지원센터
9735,45130106,오룡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2933,43130105,교현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4328,42170116,단봉동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4329,42170600,북평동,2018-01-11,AAAAAAA,공공데이터활용지원센터
2934,43130122,안림동,2018-01-11,AAAAAAA,공공데이터활용지원센터
385,28237105,삼산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
3249,43130107,호암동,2018-01-11,AAAAAAA,공공데이터활용지원센터
24084,44210330,팔봉면,2018-01-11,AAAAAAA,공공데이터활용지원센터
817,47190128,옥계동,2018-01-11,AAAAAAA,공공데이터활용지원센터
4277037026,42770370,여량면 봉정리,2019-06-30,4290000,강원도 정선군
4277037025,42770370,여량면 고양리,2019-06-30,4290000,강원도 정선군
4277037024,42770370,여량면 남곡리,2019-06-30,4290000,강원도 정선군
4277037023,42770370,여량면 구절리,2019-06-30,4290000,강원도 정선군
4277037022,42770370,여량면 유천리,2019-06-30,4290000,강원도 정선군
4277037021,42770370,여량면 여량리,2019-06-30,4290000,강원도 정선군
4277036027,42770360,화암면 백전리,2019-06-30,4290000,강원도 정선군
4277036026,42770360,화암면 호촌리,2019-06-30,4290000,강원도 정선군
4277036025,42770360,화암면 건천리,2019-06-30,4290000,강원도 정선군
4277036024,42770360,화암면 몰운리,2019-06-30,4290000,강원도 정선군
4277036023,42770360,화암면 북동리,2019-06-30,4290000,강원도 정선군
4277036022,42770360,화암면 석곡리,2019-06-30,4290000,강원도 정선군
