육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
남천동 자유한국당사 앞 육교,시도,24,황령대로,부산광역시 수영구 황령대로 493,35.138288,129.107898,31.2,,,4.5,,,,Y,승강기 2기,,,,,N,보통,제한없음,,정밀점검,2017-10-24,수영구청,2019-11-18,3380000,부산광역시 수영구
능골,시도,49,국회대로,서울특별시 양천구 지양로16길 15,37.525091,126.832696,81,6,,4.5,4,1.2,4,N,점자블록,1,없음,0,1992-07-01,N,양호,제한없음,일상유지보수,정기점검,2019-08-30,서울특별시 양천구청,2019-11-06,3140000,서울특별시 양천구
당모래,시도,49,국회대로,서울특별시 양천구 국회대로 90,37.527292,126.844742,53,6,,4.5,4,1.2,10,N,점자블록,1,없음,0,1992-07-01,N,보통,제한없음,일상유지보수,정기점검,2019-08-30,서울특별시 양천구청,2019-11-06,3140000,서울특별시 양천구
은빛,시도,49,국회대로,서울특별시 양천구 국회대로 170,37.528087,126.853616,53,6,,4.5,4,1.2,10,N,점자블록,1,없음,0,1992-07-01,N,보통,제한없음,일상유지보수,정기점검,2019-08-30,서울특별시 양천구청,2019-11-06,3140000,서울특별시 양천구
소망,시도,49,국회대로,서울특별시 양천구 국회대로 210,37.528975,126.858466,59,6,,4.5,5,1.2,10,N,점자블록,1,없음,0,1992-07-01,N,보통,제한없음,일상유지보수,정기점검,2019-08-30,서울특별시 양천구청,2019-11-06,3140000,서울특별시 양천구
잣절,시도,42,남부순환로,서울특별시 양천구 남부순환로 699,37.506698,126.844273,40,6,,4.3,3,1.2,6,N,점자블록,1,없음,0,1977-12-01,N,양호,제한없음,일상유지보수,정기점검,2019-08-30,서울특별시 양천구청,2019-11-06,3140000,서울특별시 양천구
남서울한양(아)앞 보도육교,구도,-,벚꽃로,서울특별시 금천구 시흥대로 165,37.447902,126.900726,49.6,,,0,4.5,,,Y,엘리베이터,,,,2011-07-31, ,보통,제한없음,,정기점검,2019-08-27,서울특별시 금천구청,2020-02-20,3170000,서울특별시 금천구
가산한내 보도육교,시도,-,서부간선도로,서울특별시 금천구 가산디지털2로 127-143,37.478621,126.876975,39.5,,,4.5,4.7,,,Y,점자블럭,,,,2007-12-24, ,보통,제한없음,,정기점검,2019-08-27,서울특별시 금천구청,2020-02-20,3170000,서울특별시 금천구
독산한내 보도육교,구도,-,서해안고속도로,서울특별시 금천구 벚꽃로 73,37.462907,126.890424,46,,,4.5,5.7,,,N,경사로,,,,2008-01-11, ,보통,제한없음,,정기점검,2019-08-27,서울특별시 금천구청,2020-02-20,3170000,서울특별시 금천구
장천리보도육교,시도,2-41,참외전로,인천광역시 동구 참외전로245,37.281383,126.382075,25.53,7.25,3.367,4.8,2,1.15,0,N,미끄럼방지,,,,2003-12-26,N,양호,제한없음,2015.11. 논슬립(미끄럼방지) 설치,정기점검,2015-11-26,인천광역시 동구청,2020-03-04,3500000,인천광역시 동구
중앙육교,시도,0번,인북로,전라북도 익산시 인북로 86,35.561163,126.570828,20,4.5,,4.3,3,1.5,0,N,없음,0,없음,0,1997-05-15,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,익산시청,2020-03-04,4680000,전라북도 익산시
북중육교,시도,23번,익산대로,전라북도 익산시 익산대로 411,35.574547,126.571251,21,4.8,,4.5,4,1.5,0,N,없음,0,없음,0,1999-09-04,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,익산시청,2020-03-04,4680000,전라북도 익산시
신동육교,시도,25번,무왕로,전라북도 익산시 무왕로12길 9-23,35.573758,126.575872,30,4.8,,4.5,4,1.5,0,N,없음,0,없음,0,2000-04-21,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,익산시청,2020-03-04,4680000,전라북도 익산시
영등육교,시도,25번,무왕로,전라북도 익산시 무왕로 1100,35.573067,126.584423,30,4.8,,4.5,3,1.5,0,N,없음,0,없음,0,2001-10-13,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,익산시청,2020-03-04,4680000,전라북도 익산시
어양육교,시도,25번,무왕로,전라북도 익산시 무왕로 1152,35.573211,126.590255,30,4.8,,4.5,3,1.5,0,N,없음,0,없음,0,2001-10-13,N,양호,제한없음,계단 및 도색 보수,정기점검,2017-10-17,익산시청,2020-03-04,4680000,전라북도 익산시
서안양우체국사거리 육교,지방도,국지도57호선,관악대로,경기도 안양시 만안구 안양로 238,37.3945594,126.925384,30,4.3,,4.3,5,1.1,,Y,승강기,1,,,1994-04-10,N,양호,제한없음,,정기점검,2019-04-19,만안구 건설과,2019-09-16,3830000,경기도 안양시
샘모루초교 앞 육교,지방도,국지도57호선,관악대로,경기도 안양시 동안구 관악대로 133,37.3994214,126.9386655,40.4,5,,4.7,4,1.1,,Y,승강기,1,,,2003-12-05,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
중앙공원 앞 육교,시도,시도,평촌대로,경기도 안양시 동안구 평촌대로 164,37.3867809,126.9587683,118.6,5,,5,4,1.1,,Y,경사로,1,,,1992-10-19,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
롯데 향촌(아) 앞 육교,시도,시도,평촌대로,경기도 안양시 동안구 귀인로 193,37.386427,126.958397,107,5.5,,5.5,4,1.1,,Y,경사로,1,,,1997-05-07,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
신촌동주민센터 앞 육교,시도,시도,동안로,경기도 안양시 동안구 동안로 28,37.3818035,126.9563052,84,5.5,,5.5,4,1.1,,Y,경사로,1,,,1997-05-16,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
신암육교,특별시도,1,고덕로,서울특별시 강동구 고덕로66,37.554725,127.132644,20.8,,,4.7,3,1,2,N,없음,,,,1990-06-12,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
고덕육교,구도,1,동남로82길,서울특별시 강동구 고덕로 285,37.560702,127.159826,28,,,6.7,3,1,2,N,없음,,,,1994-12-13,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
한영육교,특별시도,1,동남로,서울특별시 강동구 상암로67길 19,37.547186,127.156047,26.3,,,5.2,4.3,1,2,N,없음,,,,1996-07-15,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
천동육교,구도,1,성안로,서울특별시 강동구 성안로 199,37.540488,127.136884,19.4,,,5,4,1,2,N,없음,,,,2001-02-17,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
암사육교,특별시도,1,고덕로,서울특별시 강동구 고덕로 25,37.554741,127.127605,22.5,,,4.5,4,1,2,N,없음,,,,2001-09-07,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
리엔육교,구도,1,고덕천,서울특별시 강동구 상일로 152,37.560666,127.172235,54,,,10,4.5,1,2,N,없음,,,,2011-12-30,N,양호,제한없음,,정기점검,2019-12-06,서울특별시 강동구,2019-12-06,3240000,서울특별시 강동구
향림 육교,일반국도,국도1호선,경수대로,경기도 안양시 만안구 예술공원로70번길 57-3,37.4128836,126.9196567,47,5,,4.5,3,1.1,,N,없음,0,,,1995-05-16,N,양호,제한없음,,정기점검,2019-06-30,만안구 건설과,2019-09-16,3830000,경기도 안양시
석수역 앞 육교,일반국도,국도1호선,경수대로,경기도 안양시 만안구 경수대로 1430,37.4339014,126.903779,59,5.5,,5,3.7,1.1,,Y,승강기,1,,,2009-06-03,N,양호,제한없음,,정기점검,2019-06-30,만안구 건설과,2019-09-16,3830000,경기도 안양시
호계3동 삼신아파트 앞 육교,일반국도,국도47호선,흥안대로,경기도 안양시 동안구 흥안대로 46,37.3674678,126.9509763,29,5,,4.8,4,1.1,,N,없음,0,,,1993-03-18,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
호계3동 국민은행 옆 육교,일반국도,국도47호선,흥안대로,경기도 안양시 동안구 흥안대로 96,37.3694752,126.9557058,25.4,5.5,,5,4,1.1,,Y,승강기,1,,,1994-10-11,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
안양남초교 앞 육교,일반국도,국도47호선,흥안대로,경기도 안양시 동안구 흥안대로249번길 18,37.3787294,126.9687839,45.3,5.5,,5,4,1.1,,Y,승강기,1,,,1993-09-16,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
평촌지하차도 위 육교,일반국도,국도47호선,흥안대로,경기도 안양시 동안구 흥안대로 372,37.3876567,126.9731514,44.6,5.5,,5,4,1.1,,N,없음,0,,,1994-10-28,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
논현택지2보도육교,구도,대1-13,대1-13,인천광역시 남동구 은봉로 166번길 27,37.404822,126.710913,92,,,4.5,4,,,Y,엘레베이터,3,,,2009-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
논현(소래초),구도,대3-76,대3-76,인천광역시 남동구 청능대로 718번길 31,37.405662,126.735899,150,,,4.5,2.8,,,Y,경사로,2,,,2007-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
논현2택지1보도육교,구도,대3-23,대3-23,인천광역시 남동구 은봉로 288,37.405472,126.7229410823,90,,,4.5,4,,,Y,경사로,3,,,2006-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
신월초교,구도,광 3-7,광 3-7,인천광역시 인주대로 781,37.4490832,126.7239958,29.5,,,5.2,4,,,Y,경사로,2,,,2003-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
